[2484, 1767]
[paragraph, [342.0, 408.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 444.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 480.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 516.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 552.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 588.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 624.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 660.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 696.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 732.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 768.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 804.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 840.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 876.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 912.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 948.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 984.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 1020.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 1056.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 1092.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 1128.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 1164.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 1200.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 1236.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 1272.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 1308.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 1344.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 1380.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 1416.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 1452.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 1488.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 1524.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 1560.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 1596.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [342.0, 1632.0, 1202.0, 36.0], shoonya_0sSLMCZR0HJRTC, 5753830]
[paragraph, [351.0, 1704.0, 1205.0, 36.0], shoonya_1sIQ2W8RMPWM7C, 5753830]
[paragraph, [351.0, 1740.0, 1205.0, 36.0], shoonya_1sIQ2W8RMPWM7C, 5753830]
[paragraph, [351.0, 1776.0, 1205.0, 36.0], shoonya_1sIQ2W8RMPWM7C, 5753830]
[paragraph, [351.0, 1812.0, 1205.0, 36.0], shoonya_1sIQ2W8RMPWM7C, 5753830]
[paragraph, [351.0, 1848.0, 1205.0, 36.0], shoonya_1sIQ2W8RMPWM7C, 5753830]
[paragraph, [351.0, 1884.0, 1205.0, 36.0], shoonya_1sIQ2W8RMPWM7C, 5753830]
[paragraph, [351.0, 1920.0, 1205.0, 36.0], shoonya_1sIQ2W8RMPWM7C, 5753830]
[paragraph, [351.0, 1956.0, 1205.0, 36.0], shoonya_1sIQ2W8RMPWM7C, 5753830]
[paragraph, [351.0, 1992.0, 1205.0, 36.0], shoonya_1sIQ2W8RMPWM7C, 5753830]
[paragraph, [351.0, 2028.0, 1205.0, 36.0], shoonya_1sIQ2W8RMPWM7C, 5753830]
[paragraph, [351.0, 2064.0, 1205.0, 36.0], shoonya_1sIQ2W8RMPWM7C, 5753830]
[paragraph, [351.0, 2100.0, 1205.0, 36.0], shoonya_1sIQ2W8RMPWM7C, 5753830]
[paragraph, [334.0, 2239.0, 1223.0, 36.0], shoonya_2s1A0PMD31J59M, 5753830]
