[1754, 1241]
[paragraph, [186.0, 103.0, 931.0, 36.0], shoonya_0s7FZBJTSLHTVX, 5709151]
[ordered-list, [111.0, 192.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 228.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 264.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 300.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 336.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 372.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 408.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 444.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 480.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 516.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 552.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 588.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 624.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 660.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 696.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 732.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 768.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 804.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 840.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 876.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 912.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 948.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 984.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 1020.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 1056.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 1092.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 1128.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 1164.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 1200.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 1236.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 1272.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 1308.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 1344.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 1380.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 1416.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 1452.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 1488.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 1524.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 1560.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
[ordered-list, [111.0, 1596.0, 1015.0, 36.0], shoonya_1sEGHK76GNUU7H, 5709151]
