[2806, 1983]
[ordered-list, [223.0, 233.0, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 279.5, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 326.0, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 372.5, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 419.0, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 465.5, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 512.0, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 558.5, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 605.0, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 651.5, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 698.0, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 744.5, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 791.0, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 837.5, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 884.0, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 930.5, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 977.0, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 1023.5, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 1070.0, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 1116.5, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 1163.0, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 1209.5, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 1256.0, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 1302.5, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 1349.0, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 1395.5, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 1442.0, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 1488.5, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 1535.0, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 1581.5, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 1628.0, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 1674.5, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 1721.0, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 1767.5, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 1814.0, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 1860.5, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 1907.0, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 1953.5, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 2000.0, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 2046.5, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 2093.0, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 2139.5, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 2186.0, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 2232.5, 1554.0, 46.5], nW1awSWu2D, 5682808]
[ordered-list, [223.0, 2279.0, 1554.0, 46.5], nW1awSWu2D, 5682808]
