[2200, 1700]
[paragraph, [320.0, 91.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 127.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 163.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 199.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 235.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 271.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 307.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 343.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 379.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 415.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 451.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 487.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 523.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 559.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 595.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 631.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 667.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 703.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 739.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 775.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 811.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 847.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 883.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 919.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 955.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 991.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 1027.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 1063.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 1099.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 1135.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 1171.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 1207.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 1243.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 1279.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 1315.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 1351.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 1387.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 1423.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 1459.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 1495.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 1531.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 1567.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 1603.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 1639.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 1675.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 1711.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 1747.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 1783.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 1819.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 1855.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 1891.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[paragraph, [320.0, 1927.0, 1103.0, 36.0], shoonya_0sK75H56P40YLT, 5731408]
[folio, [322.0, 2053.0, 358.0, 36.0], NU-pCqtoXV, 5731408]
