[2200, 1700]
[paragraph, [288.0, 63.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 99.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 135.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 171.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 207.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 243.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 279.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 315.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 351.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 387.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 423.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 459.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 495.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 531.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 567.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 603.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 639.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 675.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 711.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 747.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 783.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 819.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 855.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 891.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 927.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 963.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 999.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 1035.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 1071.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 1107.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 1143.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 1179.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 1215.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 1251.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 1287.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 1323.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 1359.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 1395.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 1431.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 1467.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 1503.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 1539.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 1575.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 1611.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 1647.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 1683.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 1719.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 1755.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 1791.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 1827.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 1863.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[paragraph, [288.0, 1899.0, 1138.0, 36.0], shoonya_0sWIBZIFM8ZGUG, 5731139]
[folio, [944.0, 2021.0, 367.0, 36.0], vwlZAvj_LU, 5731139]
