[2484, 1767]
[paragraph, [333.0, 385.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 421.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 457.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 493.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 529.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 565.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 601.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 637.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 673.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 709.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 745.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 781.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 817.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 853.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 889.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 925.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 961.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 997.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 1033.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 1069.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 1105.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 1141.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 1177.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 1213.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 1249.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 1285.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 1321.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 1357.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 1393.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 1429.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 1465.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 1501.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 1537.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 1573.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 1609.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 1645.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 1681.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 1717.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 1753.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 1789.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 1825.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 1861.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 1897.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 1933.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 1969.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 2005.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 2041.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 2077.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
[paragraph, [333.0, 2113.0, 1212.0, 36.0], shoonya_0sDILBJT1KZ20F, 5754007]
