[2200, 1700]
[paragraph, [430.0, 99.0, 1092.0, 36.0], shoonya_0sUSX4SOXW6G1J, 5734142]
[paragraph, [430.0, 135.0, 1092.0, 36.0], shoonya_0sUSX4SOXW6G1J, 5734142]
[paragraph, [430.0, 171.0, 1092.0, 36.0], shoonya_0sUSX4SOXW6G1J, 5734142]
[paragraph, [430.0, 207.0, 1092.0, 36.0], shoonya_0sUSX4SOXW6G1J, 5734142]
[paragraph, [430.0, 243.0, 1092.0, 36.0], shoonya_0sUSX4SOXW6G1J, 5734142]
[paragraph, [430.0, 279.0, 1092.0, 36.0], shoonya_0sUSX4SOXW6G1J, 5734142]
[ordered-list, [367.0, 325.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 361.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 397.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 433.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 469.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 505.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 541.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 577.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 613.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 649.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 685.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 721.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 757.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 793.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 829.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 865.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 901.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 937.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 973.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 1009.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 1045.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 1081.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 1117.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 1153.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 1189.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 1225.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 1261.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 1297.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 1333.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 1369.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 1405.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 1441.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 1477.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 1513.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 1549.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 1585.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 1621.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 1657.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 1693.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 1729.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 1765.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 1801.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 1837.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 1873.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 1909.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 1945.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 1981.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
[ordered-list, [367.0, 2017.0, 1154.0, 36.0], shoonya_1s9NXFF1FGIY7K, 5734142]
